brand_name,brand_label,product_name,product_label,file,db_low_euc,db_low_cos,ap_low_euc,agg_low_euc,k_low_euc,db_vgg16_euc,db_vgg16_cos,ap_vgg16_euc,agg_vgg16_euc,k_vgg16_euc,db_vgg19_euc,db_vgg19_cos,ap_vgg19_euc,agg_vgg19_euc,k_vgg19_euc,db_resnet_euc,db_resnet_cos,ap_resnet_euc,agg_resnet_euc,k_resnet_euc,db_inception_euc,db_inception_cos,ap_inception_euc,agg_inception_euc,k_inception_euc
Christian Louboutin,0,shoes,0,0_0_001.png,0,0,0,0,3,-1,0,2,1,7,-1,0,11,2,4,-1,0,4,8,9,-1,0,0,8,5
Christian Louboutin,0,shoes,0,0_0_002.png,0,0,0,0,3,-1,0,21,3,4,-1,-1,28,6,3,-1,0,22,6,4,-1,0,9,2,8
Christian Louboutin,0,shoes,0,0_0_003.png,0,0,0,0,3,-1,0,7,4,6,-1,0,1,4,8,-1,0,0,2,1,-1,0,10,1,1
Christian Louboutin,0,shoes,0,0_0_004.png,0,0,0,0,3,-1,0,6,4,6,-1,0,0,4,8,-1,0,0,6,4,-1,0,6,1,1
Christian Louboutin,0,shoes,0,0_0_005.png,-1,0,2,4,7,-1,-1,19,3,4,-1,-1,16,2,5,-1,-1,4,9,9,-1,0,22,2,8
Christian Louboutin,0,shoes,0,0_0_006.png,0,0,0,0,3,-1,0,19,6,9,-1,-1,15,0,2,-1,0,8,4,8,-1,0,1,8,5
Christian Louboutin,0,shoes,0,0_0_007.png,0,0,0,0,3,-1,-1,0,6,9,-1,0,35,0,2,-1,0,28,0,3,-1,0,11,0,2
Christian Louboutin,0,shoes,0,0_0_008.png,0,0,0,0,3,-1,-1,19,3,4,-1,-1,15,1,3,-1,0,20,0,9,-1,0,0,8,5
Christian Louboutin,0,shoes,0,0_0_009.png,-1,0,2,4,7,-1,-1,5,5,1,-1,1,6,3,0,-1,0,9,3,6,-1,0,32,8,5
Christian Louboutin,0,shoes,0,0_0_010.png,-1,0,3,2,6,-1,-1,5,5,1,-1,-1,15,3,3,-1,-1,1,3,6,-1,0,2,5,9
Christian Louboutin,0,shoes,0,0_0_011.png,-1,0,4,8,4,-1,-1,5,5,1,-1,-1,6,3,0,-1,-1,9,3,6,-1,0,1,8,5
Christian Louboutin,0,shoes,0,0_0_012.png,0,0,0,0,3,-1,-1,8,6,4,-1,0,10,1,3,-1,0,27,0,9,-1,0,0,2,8
Christian Louboutin,0,shoes,0,0_0_013.png,0,0,0,0,3,-1,-1,0,6,9,-1,-1,35,0,2,-1,0,11,4,3,-1,0,32,0,5
Christian Louboutin,0,shoes,0,0_0_014.png,0,0,0,0,3,-1,0,28,1,4,-1,0,2,2,4,-1,0,4,2,9,-1,0,4,1,1
Christian Louboutin,0,shoes,0,0_0_015.png,-1,0,1,6,1,-1,-1,13,2,1,-1,-1,16,0,3,-1,-1,2,3,6,-1,0,7,1,1
